Posisi,Perusahaan,Bidang,Jenjang,Induk Perusahaan
Salesman Bahan Pokok,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT RNI (Persero)
Salesman Farmasi,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT RNI (Persero)
Salesman Saprotan,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT RNI (Persero)
Asesor,PT RNI (Persero) - ID FOOD - PT Perusahan Perdagangan Indonesia,SDM / HC,S2-Pasca Sarjana,PT RNI (Persero)
Risk Officer,PT Biro Klasifikasi Indonesia (Persero),Risk Management,Sarjana S1 / Diploma IV,PT Biro Klasifikasi Indonesia (Persero)
Corporate Communication Officer,PT Biro Klasifikasi Indonesia (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Biro Klasifikasi Indonesia (Persero)
IT System Development Specialist,PT Biro Klasifikasi Indonesia (Persero) - PT SUCOFINDO,Developer Information Technology,Sarjana S1 / Diploma IV,PT Biro Klasifikasi Indonesia (Persero)
Sustainability Specialist,PT Biro Klasifikasi Indonesia (Persero) - PT Surveyor Indonesia,Analyst Research,Sarjana S1 / Diploma IV,PT Biro Klasifikasi Indonesia (Persero)
Data Science,PT Biro Klasifikasi Indonesia (Persero) - PT Surveyor Indonesia,Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Biro Klasifikasi Indonesia (Persero)
Verifikator,PT Biro Klasifikasi Indonesia (Persero) - PT Surveyor Indonesia,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Biro Klasifikasi Indonesia (Persero)
Land Transportation Jr Officer,PT Semen Indonesia (Persero) Tbk,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Procurement Jr Officer,PT Semen Indonesia (Persero) Tbk,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Tax Junior Officer,PT Semen Indonesia (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Material QA Junior Officer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Product QA Junior Officer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Process Evaluation Jr Officer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Electrical Inspection Jr Engineer,PT Semen Indonesia (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Retail Sales RTM Jr Officer,PT Semen Indonesia (Persero) Tbk,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Staff of legal,PT Semen Indonesia (Persero) Tbk - PT Semen Tonasa,Legal and Compliance,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Staf Perenc. Evaluasi Pemeliharaan,PT Semen Indonesia (Persero) Tbk - PT Semen Tonasa,Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Legal Officer,PT Semen Indonesia (Persero) Tbk - PT Semen Padang,Legal and Compliance,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
QC Officer,PT Semen Indonesia (Persero) Tbk - PT Semen Padang,Analyst Research,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Staff Keuangan & Akutansi,PT Semen Indonesia (Persero) Tbk - PT Semen Gresik,Keuangan,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
PROCESS ENGINEER,"PT Semen Indonesia (Persero) Tbk - PT. Solusi Bangun Indonesia, Tbk",Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Semen Indonesia (Persero) Tbk
Branch Office - Customer Services,PT Asabri (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Branch Office - Administration Staff,PT Asabri (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Internal Audit Staff,PT Asabri (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Corporate Social Responsibility (CSR) Staff,PT Asabri (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Change Management Staff,PT Asabri (Persero),Sistem Management and Safety,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Actuarial Staff,PT Asabri (Persero),Analyst Research,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Data Management Staff,PT Asabri (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Organization Development and Performance Management Staff,PT Asabri (Persero),SDM / HC,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Learning and Culture Staff,PT Asabri (Persero),SDM / HC,Sarjana S1 / Diploma IV,PT Asabri (Persero)
HR Services Staff,PT Asabri (Persero),SDM / HC,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Assets Management Staff,PT Asabri (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Compliance Staff,PT Asabri (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Finance Staff,PT Asabri (Persero),Keuangan,Sarjana S1 / Diploma IV,PT Asabri (Persero)
Staf Administrasi Personalia,Perum Damri,SDM / HC,Sarjana S1 / Diploma IV,Perum Damri
Staf Hukum Bisnis,Perum Damri,Legal and Compliance,Sarjana S1 / Diploma IV,Perum Damri
Staf Pengembangan Karyawan,Perum Damri,SDM / HC,Sarjana S1 / Diploma IV,Perum Damri
Staf Desain Komunikasi Visual,Perum Damri,Digitalisasi and IT,Sarjana S1 / Diploma IV,Perum Damri
Staf Komunikasi Perusahaan,Perum Damri,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,Perum Damri
Asisten Tanaman,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Teknik & Pengolahan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Akuntansi & Keuangan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,Keuangan,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten SDM & Umum,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara IV,SDM / HC,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Tanaman,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Teknik & Pengolahan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Akuntansi & Keuangan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,Keuangan,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten SDM & Umum,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara VII,SDM / HC,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Tanaman,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Teknik & Pengolahan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Akuntansi & Keuangan,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Keuangan,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten SDM & Umum,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,SDM / HC,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
Asisten Teknologi Informasi,PT Perkebunan Nusantara III (Persero) - PT Perkebunan Nusantara XIII,Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Perkebunan Nusantara III (Persero)
IT Helpdesk,PT Brantas Abipraya (Persero),Digitalisasi and IT,Diploma III,PT Brantas Abipraya (Persero)
IT Infrastructure & Operations,PT Brantas Abipraya (Persero),Digitalisasi and IT,Diploma III,PT Brantas Abipraya (Persero)
IT Development,PT Brantas Abipraya (Persero),Developer Information Technology,Diploma III,PT Brantas Abipraya (Persero)
Staf Inovasi & Teknologi,PT Brantas Abipraya (Persero),Developer Information Technology,Diploma III,PT Brantas Abipraya (Persero)
Associate,PT Pupuk Indonesia (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Pupuk Indonesia (Persero)
Associate,PT Pupuk Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Pupuk Indonesia (Persero)
Associate,PT Pupuk Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Pupuk Indonesia (Persero)
Associate,PT Pupuk Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Pupuk Indonesia (Persero)
Associate,PT Pupuk Indonesia (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Pupuk Indonesia (Persero)
Product Development & Design,Perum Percetakan Uang Republik Indonesia,Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,Perum Percetakan Uang Republik Indonesia
Production Operator,Perum Percetakan Uang Republik Indonesia,Operasi / Produksi / Proyek,Diploma III,Perum Percetakan Uang Republik Indonesia
Manajemen Trainee,PT Jasa Marga (Persero) Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Jasa Marga (Persero) Tbk
Staff,Perum Jasa Tirta II,Keuangan,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Strategic Planning,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Risk Management,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Strategic Planning,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Engineering and Maintenance,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Engineering and Maintenance,Sarjana S1 / Diploma IV,Perum Jasa Tirta II
Staff,Perum Jasa Tirta II,Engineering and Maintenance,Diploma III,Perum Jasa Tirta II
Officer,PT Hutama Karya (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Hutama Karya (Persero)
Officer,PT Hutama Karya (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Hutama Karya (Persero)
Officer,PT Hutama Karya (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,PT Hutama Karya (Persero)
Officer,PT Hutama Karya (Persero),Keuangan,Sarjana S1 / Diploma IV,PT Hutama Karya (Persero)
Administrasi Perkantoran,Perum Perumnas,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Perum Perumnas
Officer Pemeliharaan Jaringan,PT Perusahaan Listrik Negara (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Perusahaan Listrik Negara (Persero)
Officer Asesmen dan Diagnosa,PT Perusahaan Listrik Negara (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Perusahaan Listrik Negara (Persero)
Officer Pemasaran,PT Perusahaan Listrik Negara (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Perusahaan Listrik Negara (Persero)
Junior Analyst Bidang Aktuaria,PT Pos Indonesia (Persero),Analyst Research,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Junior Analyst Bidang Digital,PT Pos Indonesia (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Engineer,PT Pos Indonesia (Persero) - PT Pos Properti Indonesia,Engineering and Maintenance,Diploma III,PT Pos Indonesia (Persero)
Sales Support Specialist,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Risk Management Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Risk Management,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Operation Supervisor,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
QHSSE Specialist,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Sistem Management and Safety,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Operation Staff,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Operasi / Produksi / Proyek,Diploma III,PT Pos Indonesia (Persero)
Organization Development & Talent Management Assistant Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,SDM / HC,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
System Development & Integration Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Developer Information Technology,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Legal Assistant Manager,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,Legal and Compliance,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Industrial Relation Specialist,PT Pos Indonesia (Persero) - PT Pos Logistik Indonesia,SDM / HC,Sarjana S1 / Diploma IV,PT Pos Indonesia (Persero)
Operator,PT Pertamina (Persero) - PT Kilang Pertamina Internasional - PT Kilang Pertamina Balikpapan,Operasi / Produksi / Proyek,Diploma III,PT Pertamina (Persero)
Operator,PT Pertamina (Persero) - PT Kilang Pertamina Internasional - PT Kilang Pertamina Balikpapan,Operasi / Produksi / Proyek,Diploma III,PT Pertamina (Persero)
Operator,PT Pertamina (Persero) - PT Kilang Pertamina Internasional - PT Kilang Pertamina Balikpapan,Operasi / Produksi / Proyek,Diploma III,PT Pertamina (Persero)
Product & Risk Analyst,Perum Lembaga Kantor Berita Nasional Antara - PT Antara ETP,Analyst Research,Sarjana S1 / Diploma IV,Perum Lembaga Kantor Berita Nasional Antara
Legal & Compliance Analyst,Perum Lembaga Kantor Berita Nasional Antara - PT Antara ETP,Legal and Compliance,Sarjana S1 / Diploma IV,Perum Lembaga Kantor Berita Nasional Antara
Corporate Affairs Analyst,Perum Lembaga Kantor Berita Nasional Antara - PT Antara ETP,Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,Perum Lembaga Kantor Berita Nasional Antara
Officer Contract Administration,PT Pembangunan Perumahan (Persero) Tbk,Legal and Compliance,Sarjana S1 / Diploma IV,PT Pembangunan Perumahan (Persero) Tbk
Officer Engineering,PT Pembangunan Perumahan (Persero) Tbk,Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Pembangunan Perumahan (Persero) Tbk
Petugas Pandu,PT Pelabuhan Indonesia (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Pelabuhan Indonesia (Persero)
Staf BIM Engineer,PT Virama Karya (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Virama Karya (Persero)
Peraturan dan Kebijakan Hukum,PT ASDP Indonesia Ferry (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Administrasi Hukum,PT ASDP Indonesia Ferry (Persero),Legal and Compliance,Diploma III,PT ASDP Indonesia Ferry (Persero)
Pengadaan,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Logistik dan Pergudangan,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Strategi Pengembangan SDM,PT ASDP Indonesia Ferry (Persero),SDM / HC,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Corporate Communication,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Pengadaan Pembelian & Pembangunan Armada,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Aset Produksi,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Commercial & Operations Data Management,PT ASDP Indonesia Ferry (Persero),Analyst Research,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Evaluasi Kinerja Perintis,PT ASDP Indonesia Ferry (Persero),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Operasional TI,PT ASDP Indonesia Ferry (Persero),Digitalisasi and IT,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Pengembangan TI,PT ASDP Indonesia Ferry (Persero),Developer Information Technology,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Performa dan Reward,PT ASDP Indonesia Ferry (Persero),SDM / HC,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Asisten Kredit Standar,PT Bank Negara Indonesia (Persero) Tbk,Bisnis Niaga / Pemasaran,Diploma III,PT Bank Negara Indonesia (Persero) Tbk
Sales,PT BNI LIFE INSURANE - PT BANK NEGARA INDONESIA (Persero) Tbk,Bisnis Niaga / Pemasaran,Diploma III,PT BNI LIFE INSURANE
Customer Marketing Officer,PT BNI MULTIFINANCE - PT BANK NEGARA INDONESIA (Persero) Tbk,Bisnis Niaga / Pemasaran,Diploma III,PT BNI MULTIFINANCE
FINANCE,PT Telkom Indonesia (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
LEGAL & COMPLIANCE,PT Telkom Indonesia (Persero) Tbk,Legal and Compliance,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
MANAGEMENT TRAINEE,PT Telkom Indonesia (Persero) Tbk - PT Dayamitra Telekomunikasi Tbk,Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
JUNIOR ACCOUNT MANAGER 2,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 ENTERPRISE STRATEGY & PLANNING,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 CDCO STRATEGY & PLANNING,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 ENTERPRISE PRODUCT STRATEGY & READINESS,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 IT AUDIT,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Logistic / Supply Chain / Asset / GA,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 TRANSFORMATION MANAGEMENT OFFICE PLANNING & MONITORING,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Strategic Planning,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 SUBSEA PROJECT ORCHESTRATION 2,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
OFFICER 2 PRODUCT INNOVATION & DEVELOPMENT III,PT Telkom Indonesia (Persero) Tbk - PT. Telekomunikasi Indonesia Internasional (PT Telkom Indonesia (Persero) Tbk),Pengembangan Usaha / R and D,Sarjana S1 / Diploma IV,PT Telkom Indonesia (Persero) Tbk
Dokter,PT Kereta Api Indonesia (Persero),Sistem Management and Safety,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
Public Relation Staff,PT Kereta Api Indonesia (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
IT Staff,PT Kereta Api Indonesia (Persero),Developer Information Technology,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
Finance Staff,PT Kereta Api Indonesia (Persero),Keuangan,Diploma III,PT Kereta Api Indonesia (Persero)
Finance Staff,PT Kereta Api Indonesia (Persero),Keuangan,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
Legal Staff,PT Kereta Api Indonesia (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
Building Staff,PT Kereta Api Indonesia (Persero),Engineering and Maintenance,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
Strategic Planning Staff,PT Kereta Api Indonesia (Persero),Strategic Planning,Sarjana S1 / Diploma IV,PT Kereta Api Indonesia (Persero)
1. Akuntansi,PT Primissima (Persero),Keuangan,Sarjana S1 / Diploma IV,PT Primissima (Persero)
2. Produksi,PT Primissima (Persero),Operasi / Produksi / Proyek,Sarjana S1 / Diploma IV,PT Primissima (Persero)
3. Pemasaran & Pengadaan Barang,PT Primissima (Persero),Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Primissima (Persero)
4. HRD,PT Primissima (Persero),SDM / HC,Sarjana S1 / Diploma IV,PT Primissima (Persero)
5. Internal Audit,PT Primissima (Persero),Legal and Compliance,Sarjana S1 / Diploma IV,PT Primissima (Persero)
Staf Teknik Sipil,Perum Jasa Tirta I,Engineering and Maintenance,Sarjana S1 / Diploma IV,Perum Jasa Tirta I
Staf Akuntansi,Perum Jasa Tirta I,Treasury,Sarjana S1 / Diploma IV,Perum Jasa Tirta I
General Banking Staff,PT Bank Mandiri (Persero) Tbk,Bisnis Niaga / Pemasaran,Sarjana S1 / Diploma IV,PT Bank Mandiri (Persero) Tbk
Back Office Staff (Non IT),PT Bank Mandiri (Persero) Tbk,Capital Market Investment Banking,Sarjana S1 / Diploma IV,PT Bank Mandiri (Persero) Tbk
Back Office Staff (IT),PT Bank Mandiri (Persero) Tbk,Digitalisasi and IT,Sarjana S1 / Diploma IV,PT Bank Mandiri (Persero) Tbk
Staf TJSL,PT RNI (Persero) - ID FOOD,Strategic Planning,Sarjana S1 / Diploma IV,PT RNI (Persero)
Sekretaris,PT RNI (Persero) - ID FOOD,Legal and Compliance,Diploma III,PT RNI (Persero)
Kerjasama Strategis,PT ASDP Indonesia Ferry (Persero),Strategic Planning,Sarjana S1 / Diploma IV,PT ASDP Indonesia Ferry (Persero)
Transaction Processing Staff,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Bank Tabungan Negara (Persero) Tbk
Branch Funding Support,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Bank Tabungan Negara (Persero) Tbk
Loan Service,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Bank Tabungan Negara (Persero) Tbk
Collective Staff,PT Bank Tabungan Negara (Persero) Tbk,Keuangan,Sarjana S1 / Diploma IV,PT Bank Tabungan Negara (Persero) Tbk
